epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
33,12870,0.013674084956829365,0.0023138370269384138,0.3237734978015606,88.7139423076923,99.70953525641026,11.286057692307693,0.2904647435897374,0.014029750341101538,0.010932219179370735,0.5162290469169617,84.13,99.22,15.870000000000005,0.7800000000000011
34,13260,0.013793438520186987,0.002375369805556077,0.3166733471628947,88.90024038461539,99.69150641025641,11.099759615384613,0.3084935897435912,0.01416275169275984,0.009165030491502978,0.513829393196106,84.03,99.02,15.969999999999999,0.980000000000004
35,13650,0.013793020982008714,0.00272677250397511,0.3136505806293243,89.01642628205128,99.70753205128206,10.983573717948715,0.2924679487179418,0.014114419116249567,0.01094989836970462,0.44683276000022887,85.85,99.4,14.150000000000006,0.5999999999999943
36,14040,0.013552454801706167,0.0021653114221034907,0.31435315211613973,88.85416666666667,99.69350961538461,11.145833333333329,0.3064903846153868,0.01394072967239573,0.010411618631097335,0.45926234979629516,84.85,99.39,15.150000000000006,0.6099999999999994
37,14430,0.013538464521750426,0.002010940282772749,0.3033261739863799,89.48116987179488,99.71554487179488,10.518830128205124,0.2844551282051242,0.013868926446649093,0.01074897488461265,0.46661514234542845,85.24,99.45,14.760000000000005,0.5499999999999972
38,14820,0.013468414086561936,0.0022284550544543146,0.3059254186275678,89.30889423076923,99.73958333333333,10.691105769230774,0.2604166666666714,0.013847185086600388,0.01043310648278345,0.42871412563323974,86.21,99.61,13.790000000000006,0.39000000000000057
39,15210,0.013622750991430038,0.0021677579635228867,0.29970973049983,89.58533653846153,99.73157051282051,10.414663461538467,0.268429487179489,0.014136893839775762,0.010926702354527727,0.5112641841888428,83.89,99.41,16.11,0.5900000000000034
40,15600,0.013487454561086801,0.0022853729052421373,0.30060162586279404,89.44511217948718,99.75961538461539,10.554887820512818,0.2403846153846132,0.014121463027181504,0.011309620700305022,0.4696079803943634,85.25,99.31,14.75,0.6899999999999977
41,15990,0.013588448059864533,0.0018882134021856846,0.29560568707111556,89.61738782051282,99.73758012820512,10.382612179487182,0.2624198717948758,0.013734410080728652,0.010070242459260964,0.5466857570171356,82.94,99.4,17.060000000000002,0.5999999999999943
42,16380,0.013612947097191444,0.0018564676627134665,0.2951887399340287,89.6514423076923,99.74559294871794,10.348557692307693,0.2544070512820582,0.013851657698426065,0.010956073109107681,0.5698731096744537,82.76,99.32,17.239999999999995,0.6800000000000068
